"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1997423,"EXCHANGE PLACE LP",805-3891503385,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","Y"
1997423,"EXCHANGE PLACE: ALL CAP LP",805-4027616710,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","Y"
1997547,"I-94 PARTNERS FUND LP",805-6169791570,"WALLEYE CAPITAL LLC","801-113731","N"
1997547,"BEMAP MASTER FUND LTD",805-1733608039,"BLACKSTONE ALTERNATIVE ASSET MANAGEMENT L.P.","801-52559","N"
1996038,"CMAP TREND TCYP FUND LIMITED",805-1265595974,"WILSHIRE","801-36233","N"
1997378,"CARLYLE-MRE REAL ESTATE SERIES SERIES INTERESTS OF THE SALI MUTLI-SERIES FUND, L.P.",805-9196716988,"SALI FUND SERVICES","801-61702","N"
1997378,"TERRA, L.P.",805-3067484756,"THE CARLYLE GROUP","801-52462","N"
1992004,"CVC CAPITAL PARTNERS VI (B) L.P.",805-5490868125,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1997989,"COMPASS SAV LLC",805-3009451271,"MIO PARTNERS, INC.","801-41495","N"
1992004,"CVC CAPITAL PARTNERS VI (A) L.P.",805-9827738207,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS VI (C) L.P.",805-2728633912,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC GROWTH PARTNERS L.P.",805-7232005204,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS VI (D) S.L.P.",805-3488114003,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS VII (A) L.P.",805-4001314431,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES B L.P.",805-7174575612,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES COMPOUNDING CAPITAL L.P.",805-2457967287,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES D L.P.",805-7039588309,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES A L.P.",805-3222548029,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES II L.P.",805-4765926024,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC GROWTH PARTNERS II L.P.",805-4772558431,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS VIII (A) L.P.",805-3571199055,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS IX (A) L.P.",805-3995413255,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS IX (B) SCSP",805-2092650456,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES III (A) L.P.",805-3627175368,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1992004,"CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES III (B) SCSP",805-9043870356,"CVC ADVISERS JERSEY LIMITED","802-113037","N"
1999825,"EMERGING MARKETS EQUITY FUND, A SERIES OF ABRDN INSTITUTIONAL COMMINGLED FUNDS, LLC",805-5981061768,"ABRDN INC.","801-49966","N"
1995743,"801 WEST INSURANCE FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-7190044191,"SALI FUND SERVICES","801-61702","N"
1999289,"TAG MASTER RELATIVE VALUE FUND LLC",805-8562456358,"TAG ASSOCIATES LLC","801-60908","N"
1981106,"HINES RIALTO CREDIT PARTNERS, LP",805-6052125476,"RIALTO CAPITAL MANAGEMENT, LLC","801-74178","Y"
1999825,"EMERGING MARKETS EX-CHINA EQUITY FUND, A SERIES OF THE ABRDN INSTITUTIONAL COMMINGLED FUNDS, LLC",805-8488418835,"ABRDN INC.","801-49966","N"
1999825,"EMERGING MARKETS BOND FUND, A SERIES OF ABRDN INSTITUTIONAL COMMINGLED FUNDS, LLC",805-1194366500,"ABRDN INC.","801-49966","N"
1999825,"EMERGING MARKETS DEBT LOCAL AND HARD CURRENCY FUND, A SERIES OF ABRDN INSTITUTIONAL COMMINGLED FUNDS, LLC",805-6419123773,"ABRDN INC.","801-49966","N"
1999825,"EMERGING MARKETS SMALLER COMPANIES FUND, A SERIES OF ABRDN INSTITUTIONAL COMMINGLED FUNDS, LLC",805-1105580182,"ABRDN INC.","801-49966","N"
1999868,"TAG MASTER RELATIVE VALUE FUND LLC",805-8562456358,"TAG ASSOCIATES LLC","801-60908","N"
1999955,"CENTERBRIDGE SEAPORT ACQUISITION FUND, L.P.",805-1990934849,"CENTERBRIDGE PARTNERS, L.P.","801-73876","N"
1999937,"CENTERBRIDGE SEAPORT ACQUISITION FUND, L.P.",805-1990934849,"CENTERBRIDGE PARTNERS, L.P.","801-73876","N"
1998759,"TAULA MASTER FUND",805-6405185426,"TAULA CAPITAL MANAGEMENT (JERSEY) LIMITED","801-129646","N"
1999887,"CARDINAL ADVISOR SERIES - MULTI-MANAGER INTERNATIONAL EQUITY LP",805-7938242776,"ICAPITAL ADVISORS, LLC","801-106690","Y"
2000017,"ABS DIRECT EQUITY FUND LLC - EUROPE SERIES 1",805-9587563757,"ABS GLOBAL INVESTMENTS","801-62188","N"
1998837,"BLACKSTONE PRIVATE STRATEGIES IDF SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-6358961693,"SALI FUND SERVICES","801-61702","N"
1998837,"BLACKSTONE DIVERSIFIED ALTERNATIVES IDF SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-1141058477,"SALI FUND SERVICES","801-61702","N"
1981322,"THE SCHIEHALLION FUND LIMITED",805-6439194666,"BAILLIE GIFFORD & CO LIMITED","802-116796","Y"
2000441,"CORUNDUM MANAGED EQUITY FUND AI LLC",805-6927558559,"CORUNDUM GROUP, INC.","801-42281","N"
2000441,"CORUNDUM MANAGED EQUITY FUND QP LLC",805-6780062866,"CORUNDUM GROUP, INC.","801-42281","N"
2000441,"CORUNDUM INCOME FUND QP LLC",805-8196921760,"CORUNDUM GROUP, INC.","801-42281","N"
1998328,"FORESIGHT ENERGY INFRASTRUCTURE PARTNERS GP S.A.R.L",805-9589482678,"FORESIGHT GROUP LUXEMBOURG S.A.","802-132701","N"
1981322,"BAILLIE GIFFORD PRIVATE COMPANIES FUND II L.P.",805-4486878877,"BAILLIE GIFFORD INTERNATIONAL LLC","801-118239","N"
1981322,"BAILLIE GIFFORD CO-INVEST (NO.1) FUND LP",805-4477561583,"BAILLIE GIFFORD INTERNATIONAL LLC","801-118239","N"
2000151,"GREENVALE CAPITAL (CAYMAN) MASTER FUND LIMITED",805-5523974483,"GREENVALE CAPITAL LP","801-122286","N"
1995148,"BC EUROPEAN CAPITAL - ARGOS CO-INVESTMENT - 1 LP",805-5583515659,"BC PARTNERS LLP","802-114565","N"
1996626,"COMMONFUND OCIO GLOBAL EQUITY, LLC",805-5403411443,"COMMONFUND OCIO, INC.","801-56548","N"
1996626,"CF DIVERSE EQUITY OPPORTUNITIES, LLC",805-4607042774,"COMMONFUND OCIO, INC.","801-56548","N"
1999055,"DEUTSCHE REAL ASSETS FUND: CAYMAN REAL ASSETS FUND, LTD",805-3785921345,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1999055,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB, LP",805-2005396818,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.","801-252","N"
1995148,"BC EUROPEAN CAPITAL IX  - 1 L.P",805-8779711952,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 1 L.P.",805-4809242208,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI GD - 1 L.P.",805-6596930012,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI GD - 2 L.P.",805-3868023271,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL - ARGOS CO-INVESTMENT - 2 LP",805-4772828163,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL - HERCULES CO-INVESTMENT - LP",805-6673913390,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 10 LP",805-1962818504,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 11 LP",805-6835741960,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 2 LP",805-1839845915,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 3 LP",805-9683757801,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 4 LP",805-1720049045,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 5 LP",805-9126906525,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 6 LP",805-7374389009,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 7 LP",805-9880824811,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 8 LP",805-9276081251,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX - 9 LP",805-7771159691,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL IX LIMITED",805-9639319907,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 10 LP",805-8771542288,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 2 LP",805-8451486975,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 3 LP",805-7595302123,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 4 LP",805-3161751005,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 5 LP",805-7060474492,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 5A LP",805-6648240160,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 6 LP",805-1034296190,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 7 LP",805-7969074019,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 8 LP",805-6442089750,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - 9 LP",805-1350442858,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - BETTY CO-INVESTMENT (1) LP",805-8236138533,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - BETTY CO-INVESTMENT (2) LP",805-6613701979,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - GW CO-INVESTMENT (1) LP",805-2213013116,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - HULK CO-INVESTMENT (1) LP",805-9978268392,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - HULK CO-INVESTMENT (2) LP",805-9281590384,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - NAVIGATOR CO-INVESTMENT (1) LP",805-7605662602,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - NAVIGATOR CO-INVESTMENT (2) LP",805-5321616987,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - PORT CO-INVESTMENT (1) LP",805-2577981815,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X - PORT CO-INVESTMENT (2) LP",805-6641074959,"BC PARTNERS LLP","802-114565","N"
1995148,"BC EUROPEAN CAPITAL X-SAINT CO-INVESTMENT (1) LP",805-9687972583,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS BEST CO-INVESTMENT LP",805-5366104304,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS CLAY CO-INVESTMENT (2) LP",805-5835696891,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS CLAY CO-INVESTMENT (3) LP",805-5541484090,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS CLAY CO-INVESTMENT LP",805-5459669813,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS DORY CO-INVESTMENT (2) LP",805-4982712555,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS DORY CO-INVESTMENT LP",805-5067109302,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS ELECTRON CO-INVESTMENT LP",805-4416920430,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS EURO CO-INVESTMENT LP",805-3448086947,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS GLENGARRY CO-INVESTMENT LP",805-2246818850,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS JJ CO-INVESTMENT LP",805-5547024195,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS METRO CO-INVESTMENT (2) LP",805-2947230408,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS TURING CO-INVESTMENT LP",805-4543988463,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI GD - 3 L.P.",805-3243962551,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI GE - 1 L.P.",805-2804415127,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI GE - 2 L.P.",805-3115679395,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI LE - 1 SCSP",805-5656013997,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI LE - 2 SCSP",805-7851785959,"BC PARTNERS LLP","802-114565","N"
1995148,"BC PARTNERS XI LE - 3 SCSP",805-6363185322,"BC PARTNERS LLP","802-114565","N"
1995148,"BCEC X ASTON CO-INVESTMENT (1) LP",805-8919867141,"BC PARTNERS LLP","802-114565","N"
1995148,"BCEC X LUX SCSP",805-2568664787,"BC PARTNERS LLP","802-114565","N"
1995148,"BCEC X METRO CO-INVESTMENT - LP",805-8998517826,"BC PARTNERS LLP","802-114565","N"
1995148,"BCEC X VOLUNTEER CO-INVESTMENT - LP",805-3688685801,"BC PARTNERS LLP","802-114565","N"
