"FilingID","Accountant Name","Street 1","Street 2","City","State","Country","Postal Code","Registered PCAOB","PCAOB Number","PCAOB Inspection","Audit","Examination","Report","Unqualified Opinion"
1992487,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504-8047","Y",3783,"Y","N","Y","N",""
1992562,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504-8047","Y",3783,"Y","N","Y","N",""
1992460,"DELOITTE & TOUCHE LLP","100 SOUTH MILL AVENUE","SUITE 1800","TEMPE","AZ","United States","85281","Y",34,"Y","N","Y","N",""
1992377,"KPMG","550 SOUTH HOPE STREET","SUITE 1500","LOS ANGLES","CA","United States","90071","Y",185,"Y","Y","N","N","Yes"
1992664,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DR.","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","Y","Y","N","Yes"
1992438,"ASHLAND PARTNERS","3512 EXCEL DRIVE, SUITE 103","","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1990361,"CBIZ CPAS P.C.","11440 TOMAHAWK CREEK PARKWAY","","LEAWOOD","KS","United States","66211","Y",199,"Y","N","Y","N",""
1992674,"DELOITTE","111 S WACKER DR","","CHICAGO","IL","United States","60606","Y",34,"Y","Y","N","N","Yes"
1992674,"COHEN & COMPANY, LTD.","151 N. FRANKLIN ST. STE 575, CHICAGO, IL 60606","","CHICAGO","IL","United States","60606","Y",925,"Y","Y","N","N","Not Yet Received"
1992709,"ERNST & YOUNG LLP","801 GRAND AVENUE","SUITE 3100","DES MOINES","IA","United States","50309-2764","Y",42,"Y","N","Y","Y","Yes"
1987728,"PRICEWATERHOUSECOOPERS LLP","214 NORTH TRYON STREET","SUITE 4200","CHARLOTTE","NC","United States","28202","Y",238,"Y","Y","N","N","Yes"
1990168,"ARMANINO LLP","6 CITY PLACE DRIVE","SUITE 900","ST. LOUIS","MO","United States","63141","Y",643,"Y","N","Y","N",""
1989251,"EISNERAMPER","750 THIRD AVENUE","","NEW YORK","NY","United States","10017","Y",274,"Y","Y","Y","N","Yes"
1992887,"WEAVER AND TIDWELL, LLP","12221 MERIT DRIVE","SUITE 1400","DALLAS","TX","United States","75251","Y",410,"Y","Y","N","N","Yes"
1993410,"PRICEWATERHOUSECOOPERS LLP","4100 CORPORATE CENTER DRIVE","SUITE 400","SPRINGDALE","AR","United States","72762","Y",238,"Y","N","Y","N",""
1993321,"PIPARA & CO LLP","#13, 13TH FLOOR, TRADELINK, A BLOCK, KAMLA MILLS","SENAPATI BAPAT MARG, LOWER PAREL,","MUMBAI, MAHARASHTRA","","India","400013","Y",6841,"Y","N","Y","N",""
1991611,"COHEN & COMPANY","1350 EUCLID AVENUE","SUITE 800","CLEVELAND","OH","United States","44115","Y",925,"Y","N","Y","N",""
1991686,"SPICER JEFFRIES LLP","4601 DTC BOULEVARD, SUITE 700","","DENVER","CO","United States","80237","Y",349,"Y","Y","Y","N","Yes"
1988331,"BDO USA, LLP","211 EAST WATER STREET","","KALAMAZOO","MI","United States","49007","Y",243,"Y","N","Y","N",""
1987687,"BDO LLP","55 BAKER STREET","","LONDON","","United Kingdom","W1U 7EU","Y",1295,"Y","Y","N","N","Yes"
1987687,"DELOITTE & TOUCHE LLP","111 S. WACKER DR.","SUITE 2100","CHICAGO","IL","United States","60606","Y",34,"Y","Y","N","N","Yes"
1976928,"ADKF","9601 MCALLISTER FWY","SUITE 800","SAN ANTONIO","TX","United States","78216","Y",297,"Y","N","Y","N",""
1976928,"HBK CPAS AND CONSULTANTS (HBK)","100 PINEWOOD LANE","SUITE 201","WARRENDALE","PA","United States","15086","Y",2206,"Y","N","Y","N",""
1981867,"LAVINE, LOFGREN, MORRIS & ENGELBERG","4180 LA JOLLA VILLAGE DRIVE","SUITE 300","LA JOLLA","CA","United States","92037","Y",3496,"Y","N","Y","N",""
1987790,"KPMG LLP","345 PARK AVENUE","","NEW YORK","NY","United States","10154","Y",185,"Y","Y","N","N","Not Yet Received"
1987317,"ERNST & YOUNG LLP","5 TIMES SQUARE","","NEW YORK CITY","NY","United States","10036","Y",42,"Y","Y","N","N","Yes"
1987317,"ERNST & YOUNG LTD","62 FORUM LANE","CAMANA BAY, P.O. BOX 510","GRAND CAYMAN","","Cayman Islands","KY1-1106","Y",42,"Y","Y","N","N","Yes"
1987317,"KPMG","P.O. BOX 493","SIX CRICKET SQUARE","GRAND CAYMAN","","Cayman Islands","KY1-1106","Y",1323,"Y","Y","N","N","Yes"
1986639,"FRAZIER & DEETER","1230 PEACHTREE STREET","SUITE 1500","ATLANTA","GA","United States","30309","Y",215,"Y","N","Y","N",""
1987893,"PRICEWATERHOUSECOOPERS LLP","214 NORTH TRYON STREET","SUITE 4200","CHARLOTTE","NC","United States","28202","Y",238,"Y","Y","N","N","Not Yet Received"
1988677,"DELOITTE & TOUCHE LLP","30 ROCKEFELLER CENTER","","NEW YORK","NY","United States","10112","Y",34,"Y","N","Y","Y","Yes"
1977481,"PRICEWATERHOUSECOOPERS LLP","300 MADISON AVENUE","","NEW YORK","NY","United States","10017","Y",238,"Y","Y","N","N","Yes"
1977481,"PRICEWATERHOUSECOOPERS","P.O. BOX 258","STRATHVALE HOUSE","GEORGE TOWN","","Cayman Islands","KY1-1104","Y",1266,"Y","Y","N","N","Yes"
1987277,"DEMARCO SCIACCOTTA WILKENS & DUNLEAVY, LLP","20646 ABBEY WOODS CT N","SUITE 201","FRANKFORT","IL","United States","60423","Y",5376,"Y","N","Y","N",""
1988731,"KPMG LLP","550 SOUTH HOPE STREET","SUITE 1500","LOS ANGELES","CA","United States","90071","Y",185,"Y","N","Y","N",""
1988713,"ERNST & YOUNG","725 S. FIGUEROA STREET","","LOS ANGELES","CA","United States","90017","Y",42,"Y","N","Y","Y","Not Yet Received"
1987843,"EISNERAMPER LLP","ONE CALIFORNIA STREET","SUITE 1700","SAN FRANCISCO","CA","United States","94111","Y",274,"Y","N","Y","N",""
1989338,"ASHLAND PARTNERS","3512 EXCEL DR","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1988212,"GRAY, GRAY & GRAY, LLP","34 SOUTHWEST PARK","","CANTON","MA","United States","02090","Y",889,"Y","Y","N","N","Yes"
1988212,"FIONDELLA, MILONE & LASARACINA, LLP","300 WINDING BROOK DRIVE","","GLASTONBURY","CT","United States","06033","Y",2230,"Y","N","Y","N",""
1989339,"DELOITTE & TOUCHE LLP","555 SEVENTEENTH ST.","SUITE 3600","DENVER","CO","United States","80202-3942","Y",34,"Y","Y","Y","Y","Yes"
1988294,"KPMG LLP","100 NORTH TAMPA STREET","SUITE 1700","TAMPA","FL","United States","33602-5145","Y",185,"Y","N","Y","Y","Yes"
1986719,"KNIGHT, ROLLERI, SHEPPARD, CPAS LLP","1499 POST ROAD","","FAIRFIELD","CT","United States","06824","Y",3437,"Y","N","Y","N",""
1988380,"RW GROUP, LLC","400 OLD FORGE LANE","SUITE 401","KENNETT SQUARE","PA","United States","19348","Y",5020,"Y","N","Y","N",""
1988455,"PRICEWATERHOUSECOOPERS LLP","2001 MARKET STREET","SUITE 1800","PHILADELPHIA","PA","United States","19103-7042","Y",238,"Y","N","Y","Y","Yes"
1988416,"MARCUM LLP","730 THIRD AVENUE","11TH FLOOR","NEW YORK","NY","United States","10017","Y",688,"Y","N","Y","N",""
1989234,"PRICEWATERHOUSECOOPERS LLP","ONE NORTH WACKER DRIVE","","CHICAGO","IL","United States","60606","Y",238,"Y","Y","N","N","Yes"
1989409,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504-8047","Y",3783,"Y","N","Y","N",""
1989455,"LARRY D LIBERFARB CERTIFIED PUBLIC ACCOUNTANTS","11 VANDERBILT AVE","","NORWOOD","MA","United States","02062","Y",2560,"Y","N","Y","N",""
1977179,"ERNST & YOUNG LLP","ONE MANHATTAN WEST","","NEW YORK","NY","United States","10001","Y",42,"Y","Y","N","N","Yes"
1988378,"KPMG LLP","345 PARK AVENUE","","NEW YORK","NY","United States","10154-0102","Y",185,"Y","Y","Y","N","Yes"
1989833,"KPMG LLP","1601 MARKET STREET","","PHILADELPHIA","PA","United States","19103","Y",185,"Y","N","N","Y","Yes"
1989833,"PRICEWATERHOUSECOOPERS, LLP","100 EAST PRATT STREET, SUITE 2600","","BALTIMORE","MD","United States","21202","Y",238,"Y","N","Y","N",""
1991630,"MICHAEL COGLIANESE","300 NORTH STATE STREET","SUITE 5720","CHICAGO","IL","United States","60654","Y",3874,"Y","Y","N","N","No"
1989836,"PRICEWATERHOUSECOOPERS, LLP","100 EAST PRATT STREET, SUITE 2600","","BALTIMORE","MD","United States","21202","Y",238,"Y","Y","N","N","Yes"
1989213,"PRICEWATERHOUSECOOPERS LLP","2001 MARKET STREET","SUITE 1800","PHILADELPHIA","PA","United States","19103-7042","Y",238,"Y","N","Y","Y","Yes"
1987822,"KREISCHER MILLER","100 WITMER ROAD","SUITE 350","HORSHAM","PA","United States","19044","Y",1110,"Y","N","Y","N",""
1987822,"COHEN & COMPANY, LTD.","1350 EUCLID AVE.","SUITE 800","CLEVELAND","OH","United States","44115","Y",925,"Y","Y","N","N","Not Yet Received"
1989252,"BDO USA P.C.","ONE BUSH STREET, SUITE 1800","","SAN FRANCISCO","CA","United States","94104","Y",243,"Y","Y","N","N","Not Yet Received"
1987005,"DELOITTE & TOUCHE LLP","60 NEXUS WAY, 8TH FL","CAMARA BAY POB 1787","GRAND CAYMAN","","Cayman Islands","KY1-1109","Y",1096,"Y","Y","N","N","Yes"
1989273,"DELOITTE & TOUCHE LLP","60 NEXUS WAY, 8TH FL","CAMARA BAY POB 1787","GRAND CAYMAN","","Cayman Islands","KY1-1109","Y",1096,"Y","Y","N","N","Yes"
1989292,"ASHLAND PARTNERS AND COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1988867,"WOLF & COMPANY, P.C.","99 HIGH STREET","","BOSTON","MA","United States","02110-2320","Y",392,"Y","N","Y","N",""
1988867,"KPMG LLP","55 SECOND STREET","SUITE 1400","SAN FRANCISCO","CA","United States","94105","Y",185,"Y","N","N","Y","Yes"
1988907,"ERNST & YOUNG LLP","111 W HOUSTON STREET","SUITE 1901","SAN ANTONIO","TX","United States","78205","Y",42,"Y","Y","Y","N","Yes"
1988907,"PRICEWATERHOUSECOOPERS LLP","2121 N. PEARL STREET","SUITE 2000","DALLAS","TX","United States","75201","Y",238,"Y","Y","N","N","Yes"
