"FilingID","Name","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Phone","Fax","Type","Description"
1997486,"MITSUI-SOKO (SINGAPORE) PTE LTD","2 PIONEER SECTOR LANE","","SINGAPORE","","Singapore","628321","N","65 62276935","65 62276936","A third-party unaffiliated record keeper","LOCATION MAINTAINS CERTAIN BOOKS AND RECORDS REQUIRED TO BE KEPT IN COMPLIANCE WITH THE INVESTMENT ADVISERS ACT OF 1940"
1999599,"GLOBAL RELAY COMMUNICATIONS INC","286 MADISON AVENUE","7TH FLOOR","NEW YORK","NY","United States","10017","N","866-484-6630","","A third-party unaffiliated record keeper","GLOBAL RELAY, A MESSAGE ARCHIVING AND COMPLIANCE SYSTEM IS USED TO MONITOR AND TO HELP PREVENT DATA LEAKAGE FOR THE SECURITY OF THE BUSINESS AND CLIENTS. ELECTRONIC COMMUNICATIONS ARE ARCHIVED AND ACTIVELY REVIEWED. THE FIRM STORES ALL EMAILS ON GLOBAL RELAY ARCHIVE, A MESSAGE ARCHIVING AND COMPLIANCE SYSTEM, FOR A MINIMUM PERIOD OF SIX YEARS. GLOBAL RELAY PROVIDES CLOUD-BASED ELECTRONIC MESSAGE ARCHIVING AND EDISCOVERY SERVICES."
1999599,"CHARLES SCHWAB & CO., INC.","P.O. BOX 628290","","ORLANDO","FL","United States","32862-8290","N","877-717-5639","877-807-0908","A third-party unaffiliated record keeper","CHARLES SCHWAB IS A CUSTODIAN THAT MAINTAINS COPIES OF CLIENT CUSTODIAL/BROKERAGE STATEMENTS AND TRADE CONFIRMATION REPORTS WHICH ARE ALL ACCESSIBLE TO HARMONY POINT ADVISORS ANYTIME VIA THE WEB THROUGH A SECURE ELECTRONIC PLATFORM."
1999599,"ASSETMARK TRUST COMPANY","3200 N. CENTRAL AVENUE","7TH FLOOR","PHOENIX","AZ","United States","85012-2425","N","800-664-5345","","A third-party unaffiliated record keeper","ASSETMARK TRUST COMPANY IS UTILIZED AS OUR CUSTODIAN. THEY SEND OUT STATEMENTS, TRANSACTION CONFIRMATIONS AND TAX DOCUMENTS TO CLIENTS. WE ARE ABLE TO ACCESS ALL DOCUMENTS ELECTRONICALLY."
1999588,"GLOBAL RELAY","220 CAMBIE STREET","2ND FLOOR","VANCOUVER","","Canada","V6B 2MP","N","866-484-6630","604-608-2941","A third-party unaffiliated record keeper","ELECTRONIC COMMUNICATION ARCHIVE"
1999588,"MICROSOFT 365 CLOUD","1 MICROSOFT WAY","","REDMOND","WA","United States","98052","N","800-642-7676","","A third-party unaffiliated record keeper","CLOUD BASED STORAGE OF CERTAIN REQUIRED BOOKS AND RECORDS."
1999588,"SPANNING - A KASEYA COMPANY","701 BRICKELL AVENUE","","MIAMI","FL","United States","33131","N","833-832-4780","","A third-party unaffiliated record keeper","CLOUD BACKUP AND DATA RETENTION REPOSITORY."
1997391,"GLOBAL RELAY COMMUNICATIONS INC.","2200 CAMBIE STREET, 2ND FLOOR","SUITE 800","VANCOUVER","","Canada","V6B 2M9","N","866-484-6630","604-608-2941","Other","EMAIL ARCHIVING"
1997391,"ABACUS GROUP LLC","720 2ND STREET","","OAKLAND","CA","United States","94607","N","866-997-3999","","A third-party unaffiliated record keeper","FIRM AND CLIENT RECORDS"
1997391,"TAMARAC","701 FIFTH AVENUE","14TH FLOOR","SEATTLE","WA","United States","98104","N","844-322-2858","","A third-party unaffiliated record keeper","CLIENT RECORDS"
1997391,"IRON MOUNTAIN","2116 NW 20TH AVENUE","","PORTLAND","OR","United States","97209-1804","N","(503)223-9770","","Other","HISTORICAL RECORDS"
1997391,"BROADRIDGE INVESTOR COMMUNICATIONS SOLUTIONS, INC.","2 GATEWAY CENTER","","NEWARK","NJ","United States","07102","N","631-254-7400","","Other","PROXY VOTING RECORDS"
1999342,"ALTER DOMUS LLC","60 FEDERAL STREET","13TH FLOOR","BOSTON","MA","United States","02109","N","(617) 723-5023","","A third-party unaffiliated record keeper","BOOKS AND RECORDS OF THE ADVISER'S POOLED INVESTMENT VEHICLE CLIENTS, INCLUDING LISTS OF INVESTORS AND INVESTMENT TRANSACTIONS."
