"FilingID","Country/Authority"
1930825,"Hong Kong - Securities and Futures Commission"
1939002,"Canada - British Columbia Securities Commission"
1939002,"Canada - Manitoba Securities Commission"
1939002,"Canada - New Brunswick Securities Commission"
1939002,"Canada - Nova Scotia Securities Commission"
1939002,"Canada - Alberta Securities Commission"
1939002,"Canada - Saskatchewan Financial Services Commission"
1939002,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1939002,"Canada - Quebec, Financial Markets Authority"
1939002,"Canada - Ontario Securities Commission"
1923048,"Canada - Ontario Securities Commission"
1923048,"Canada - British Columbia Securities Commission"
1923048,"Canada - Alberta Securities Commission"
1923048,"Canada - Saskatchewan Financial Services Commission"
1923048,"Canada - Manitoba Securities Commission"
1923048,"Canada - Quebec, Financial Markets Authority"
1937882,"United Kingdom - Financial Conduct Authority"
1937882,"Other: FOREIGN REGULATORY AUTHORITY"
1942798,"Australia - Australian Securities and Investments Commission"
1940331,"Other: SWISS FEDERAL BANKING COMMISSION"
1939903,"Other: MONACO - COMMISSION DE CONTROLE DES ACTIVITES FINANCIERES"
1940331,"Singapore - Monetary Authority of Singapore"
1940331,"Dubai - Dubai Financial Services Authority"
1940331,"Other: SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
1940331,"Australia - Australian Securities and Investments Commission"
1940331,"China, People's Republic of - China Securities Regulatory Commission "
1940331,"Taiwan - Financial Supervisory Commission"
1940331,"Other: TAIWAN - THE CENTRAL BANK OF REPUBLIC OF CHINA"
1940331,"Other: SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
1940331,"Other: SWISS NATIONAL BANK"
1911665,"India - Securities and Exchange Board of India"
1911665,"Australia - Australian Securities and Investments Commission"
1911665,"China, People's Republic of - China Securities Regulatory Commission "
1911665,"Singapore - Monetary Authority of Singapore"
1911665,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1944159,"Canada - British Columbia Securities Commission"
1940331,"Other: TAIWAN - THE CENTRAL BANK OF REPUBLIC OF CHINA"
1940331,"Other: SWISS FEDERAL BANKING COMMISSION"
1940331,"Other: SWISS NATIONAL BANK"
1940331,"Italy - National Stock Exchange Commission"
1940763,"Switzerland - Swiss Financial Market Supervisory Authority"
1945935,"Australia - Australian Securities and Investments Commission"
1945935,"Other: AUSTRALIA - AUSTRALIAN TRANSACTION REPORTS AND ANALYSIS CENTRE"
1944159,"Canada - Alberta Securities Commission"
1944159,"Canada - Manitoba Securities Commission"
1944159,"Canada - Quebec, Financial Markets Authority"
1944159,"Canada - Ontario Securities Commission"
1940704,"Canada - Ontario Securities Commission"
1940704,"Canada - British Columbia Securities Commission"
1940704,"Canada - Alberta Securities Commission"
